id,titulo,fecha,anio,mes,dia,dia_semana,resumen,contenido,categoria,autor,keywords,url,dominio,fecha_extraccion,imagen_principal,cantidad_imagenes,tiene_imagenes,fuente,longitud_titulo,longitud_resumen,tipo_contenido,created_at
19292,Gran Unidad Escolar San Carlos alcanza 80% de avance académico,2025-11-12 00:00:00.000000,2025.0,11.0,12.0,Wednesday,Avance académico en Gran Unidad Escolar San Carlos refleja continuidad del trabajo docente que prioriza formación estudiantil y garantiza cierre ordenado del…,"Puno Gran Unidad Escolar San Carlos alcanza 80% de avance académico La institución educativa de Puno culminará actividades el 19 de diciembre y prepara un proceso de matrícula transparente para el próximo año lectivo 12/11/2025 Pachamama Radio | Mirko Saavedra Avance académico en Gran Unidad Escolar San Carlos refleja continuidad del trabajo docente que prioriza formación estudiantil y garantiza cierre ordenado del año escolar Foto: © Pachamama Radio MKO Facebook Twitter WhatsApp Telegram Linkedin Copy URL La Gran Unidad Escolar San Carlos de Puno mantiene 80 por ciento de avance en el desarrollo académico 2025 sin registrar comunicación oficial sobre posibles medidas de lucha que afecten el calendario escolar, mientras la dirección confirma que docentes han priorizado trabajo pedagógico e intereses estudiantiles durante todo el año lectivo. El director Edgar Vilcanqui informo que la institución culminará actividades el 19 de diciembre de 2025, fecha programada tras evaluar el progreso académico que alcanzaba 78 por ciento hace dos semanas y que actualmente supera el 80 por ciento considerando el trabajo realizado sin interrupciones en jornadas recientes. La dirección explicó que las celebraciones por el bicentenario se pedagogizaron sin retrasar el avance académico, además la institución redujo a tres semanas las gestiones intermedias mientras otras instituciones educativas manejaron cuatro semanas, decisión que permitió mantener el cronograma contemplado dentro de la metodología de trabajo establecida. - Contenido Patrocinado - El colegio implementó medidas para superar inconvenientes de seguridad mediante registro obligatorio con DNI para toda persona que ingresa a las instalaciones educativas, aunque las cámaras de vigilancia funcionan óptimamente no cuentan con personal que monitoree en tiempo real, por lo que se reforzó el control en puertas de acceso. La institución estructuró bases para el proceso de matrícula e inscripción transparente que iniciará la primera semana de diciembre para nivel inicial, primario y secundario, información que se publicará mediante su página web oficial, y murales ubicados en la puerta principal del establecimiento educativo para conocimiento de interesados. Las autoridades invocaron a padres de familia consultar cronogramas durante la última semana de noviembre y primera semana de diciembre, periodo en que se brindará mayor información sobre el proceso de selección de estudiantes nuevos para primer grado, solicitando no desesperarse porque el personal está dispuesto para atender consultas. - Contenido Patrocinado - Últimas Publicaciones Huancané Hospital de Huancané solo avanza 13% tras 20 millones gastados: GORE advierten paralización San Román Subgerente de Serenazgo de San Román critica rechazo a sesión descentralizada sobre seguridad en Juliaca Juliaca SUNARP prohíbe venta de bienes de 46 universidades según Ley 32494: UANCV entre los impedidos Juliaca Etapa 4 del PIAA en Juliaca vuelve a foja cero al anularse el proceso de licitación: las otras etapas 2 y 3 presentan retrasos San Román Tras críticas quieren redimirse: Consejo Regional de Puno declara en emergencia Juliaca y San Miguel Pachamama Radio | Mirko Saavedra https://pachamamaradio.org/ Artículo anterior Rommel Montesinos exige debate previo a elecciones en Colegio de Periodistas Artículo siguiente Salas advierte rechazo a partidos y a Butters si retorna a Puno 🎙️ Pachamama Radio Síguenos en redes FB Oficial FB Radio X TikTok YouTube LinkedIn WhatsApp Telegram Messenger G News Contenido relacionado Puno Trabajadores de Salud en Puno exigen transparencia y rechazan amenazas del gobernador 00:00:58 Puno Delincuente roba más de S/ 2,000 en vivienda del barrio Mañazo Puno Luis Zambrano: Llamado a la firmeza ante persecución e injusticia Puno Desorden urbano expone a Puno a un inminente riesgo de desastre urbano Puno Puno: Condena frena descontaminación en río Coata que enfrenta colapso Puno Gobierno Regional de Puno fraccionó compras de maquinaria agrícola y perdió millones en sobreprecios",Deportes,Redacción Pachamama Radio,"gran, unidad, escolar, carlos, alcanza",https://pachamamaradio.org/gran-unidad-escolar-san-carlos-alcanza-80-de-avance-academico/,pachamamaradio.org,2025-11-17 07:46:37.039205,data:image/svg+xml,2,True,Pachamama Radio,62,158.0,Galería,2025-11-17 07:46:37.007396
19291,Hospital de Huancané solo avanza 13% tras 20 millones gastados: GORE advierten paralización,2025-11-17 00:00:00.000000,2025.0,11.0,17.0,Monday,"Hospital Huancané expone un avance mínimo y revela fallas técnicas, mientras autoridades y población exigen respuestas ante riesgos de paralización…","Huancané Hospital de Huancané solo avanza 13% tras 20 millones gastados: GORE advierten paralización La empresa china atribuye el retraso a errores del expediente técnico y enfrenta pedidos de reformulación 17/11/2025 Pachamama Radio | Reynaldo Puma Hospital Huancané expone un avance mínimo y revela fallas técnicas, mientras autoridades y población exigen respuestas ante riesgos de paralización Foto: Difusión Facebook Twitter WhatsApp Telegram Linkedin Copy URL El hospital Lucio Aldazabal Pauca de Huancané, obra clave para la provincia, registra un avance del 13% pese a que la empresa china contratista ya gastó 20 millones de soles solo en personal. Autoridades y pobladores exigen respuestas al gobernador Richard Hancco, quien prometió un 70% de avance para el 15 de noviembre. Así informo a la comunidad un equipo técnico del Gobierno regional de Puno a la población chiriwana. El gobernador regional se comprometió en julio a alcanzar un 70% de avance en el hospital de Huancané para noviembre. Sin embargo, los tenientes gobernadores confirmaron que la obra solo avanzó 1% desde julio, acumulando un 13% total. La empresa china Gezhouba Group Company Limited, cuestionada por retrasos, alega fallas en el expediente técnico y problemas estructurales. «Es una estafa», denunciaron pobladores al describir cómo los trabajadores transportan cemento en carretillas. La obra, con un presupuesto de 180 millones de soles, enfrenta 11 solicitudes de ampliación de plazo, de las cuales solo dos fueron aprobadas. La Junta de Resolución de Disputas (JRD) intervino, pero las soluciones no aceleran el ritmo. - Contenido Patrocinado - El expediente técnico, elaborado en 2018, presentó errores graves: suelos inestables y deficiencias en la estructura de acero. La empresa china importó aisladores sísmicos desde Asia, retrasando ocho meses la construcción. «El monstruo nos ganó», advirtió un ciudadano, criticando la falta de fiscalización y la contratación de la empresa. El gobierno regional de Puno argumenta que dos ampliaciones fueron justificadas: 90 días por reforzar el suelo y 167 días por corregir fallas en el acero. Sin embargo, la Contraloría aún revisa las modificaciones. «Si no responden, el contrato se resolverá», advirtió un funcionario, señalando que la obra podría paralizarse hasta cuatro años. Los tenientes gobernadores anunciaron movilizaciones si no hay avances concretos. «No vamos a permitir otro hospital abandonado como en Cañete o Huamachuco», afirmaron. La ausencia del gobernador en la reunión agravó la desconfianza. La empresa china, por su parte, insiste en que el expediente técnico debe reformularse. - Contenido Patrocinado - «La población es la más afectada», concluyó un representante técnico. Mientras la obra sigue paralizada, los pobladores exigen transparencia y acciones inmediatas. «No queremos promesas, queremos hechos», reiteraron, advirtiendo que la salud de Huancané no puede esperar. - Contenido Patrocinado - Últimas Publicaciones San Román Subgerente de Serenazgo de San Román critica rechazo a sesión descentralizada sobre seguridad en Juliaca Juliaca SUNARP prohíbe venta de bienes de 46 universidades según Ley 32494: UANCV entre los impedidos Juliaca Etapa 4 del PIAA en Juliaca vuelve a foja cero al anularse el proceso de licitación: las otras etapas 2 y 3 presentan retrasos San Román Tras críticas quieren redimirse: Consejo Regional de Puno declara en emergencia Juliaca y San Miguel Puno Trabajadores de Salud en Puno exigen transparencia y rechazan amenazas del gobernador Pachamama Radio | Reynaldo Puma Artículo anterior Huancayo: Reciben a José Jerí con protesta y pancartas; policías retiran a manifestantes a empujones 🎙️ Pachamama Radio Síguenos en redes FB Oficial FB Radio X TikTok YouTube LinkedIn WhatsApp Telegram Messenger G News Contenido relacionado Huancané Huancané: Alcalde de Taraco rechaza acusación de abuso por cierre de plaza Huancané Huancané: Fiscalía investiga a alcalde de Taraco por bloquear plaza de armas Huancané Huancané: Cojata 168 años carece de agua potable en 33 comunidades Huancané Ola de asaltos a mano armada paraliza carretera Huancané-Cojata y deja a pasajeros sin protección policial Huancané Huancané anuncia marcha de sacrificio por S/ 78 millones soles en proyectos Huancané Vecinos de Huancané piden cambio de tuberías en obra de medio millón de soles",Deportes,Redacción Pachamama Radio,"hospital, huancané, solo, avanza, tras",https://pachamamaradio.org/hospital-de-huancane-solo-avanza-13-tras-20-millones-gastados-gore-advierten-paralizacion/,pachamamaradio.org,2025-11-17 07:46:37.034969,data:image/svg+xml,2,True,Pachamama Radio,91,148.0,Alerta,2025-11-17 07:46:37.007396
19290,Sicarios acribillan a joven de 23 años en Juliaca con 13 disparos en pleno día,2025-11-10 00:00:00.000000,2025.0,11.0,10.0,Monday,Asesinato en Juliaca conmociona a vecinos tras el crimen de un joven baleado en su vehículo por sicarios que dispararon trece veces para asegurar su muerte…,"Juliaca Inicio Puno Juliaca Sicarios acribillan a joven de 23 años en Juliaca con 13 disparos... Sicarios acribillan a joven de 23 años en Juliaca con 13 disparos en pleno día La Policía investiga el móvil del crimen y analiza cámaras de seguridad, mientras la familia exige justicia ante el incremento de la violencia en la ciudad 10/11/2025 Pachamama Radio | Reynaldo Puma Asesinato en Juliaca conmociona a vecinos tras el crimen de un joven baleado en su vehículo por sicarios que dispararon trece veces para asegurar su muerte Foto: © Pachamama Radio ERPQ Facebook Twitter WhatsApp Telegram Linkedin Copy URL Un brutal crimen sacudió la cuadra 17 del jirón Tumbes en Juliaca cuando el hombre presuntamente identificado como Gilber Senín Aroquipa Turpo de 23 años fue asesinado a balazos dentro de su Toyota Yaris negro (placa CJW-597). Cuatro sicarios en dos motos lineales lo esperaron en la intersección con el jirón Umachiri y le dispararon 13 veces para asegurar su muerte. La Policía Nacional del Perú y peritos criminalísticos llegaron al lugar tras el ataque. Vecinos afirmaron que los agresores «dispararon una ráfaga de balas» contra el vehículo. El fiscal del Ministerio Público demoró más de una hora en arribar, lo que generó protestas de la población. La familia de Gilber, devastada, identificó su cuerpo entre lágrimas. «No entendemos por qué le quitaron la vida así», declaró su hermana. Autoridades recogen 13 casquillos de bala y analizan cámaras de vigilancia, aunque no hay registros útiles en la zona. - Contenido Promocionado - El comandante Torres de la Comisaría Central de Juliaca confirmó que Wilber «sobrevivió 10 minutos» tras el ataque. Las ambulancias del SAMU tardaron en llegar por calles saturadas. El móvil del crimen aún se investiga, pero se maneja la hipótesis de un ajuste de cuentas o sicariato. El Toyota Yaris quedó con impactos en la ventana del conductor, donde Wilber recibió los disparos. Testigos señalaron que los sicarios «esperaron a que pasara un camión para atacar». La escena quedó marcada por el dolor de sus padres y hermanos, quienes exigieron justicia. El levantamiento del cuerpo se realizó bajo custodia policial. La PNP analiza si el crimen está vinculado a actividades delictivas o a un conflicto personal. Mientras, la comunidad de Juliaca exige mayor seguridad en calles donde la violencia se recrudeció este año. Este es el segundo asesinato con motos lineales en menos de un mes en la ciudad. Las autoridades prometen resultados en las próximas horas, pero el miedo y la indignación crecen entre los vecinos. - Contenido Promocionado - Tags crimen Juliaca PNP sicariato violencia Últimas Publicaciones Huancané Hospital de Huancané solo avanza 13% tras 20 millones gastados: GORE advierten paralización San Román Subgerente de Serenazgo de San Román critica rechazo a sesión descentralizada sobre seguridad en Juliaca Juliaca SUNARP prohíbe venta de bienes de 46 universidades según Ley 32494: UANCV entre los impedidos Juliaca Etapa 4 del PIAA en Juliaca vuelve a foja cero al anularse el proceso de licitación: las otras etapas 2 y 3 presentan retrasos San Román Tras críticas quieren redimirse: Consejo Regional de Puno declara en emergencia Juliaca y San Miguel Pachamama Radio | Reynaldo Puma Artículo anterior La región Ica recibe S/769 millones por canon minero y aún no logra gastar ni la mitad Artículo siguiente Cerca de 20 mil mineros de La Rinconada exigen reactivación de labores 🎙️ Pachamama Radio Síguenos en redes FB Oficial FB Radio X TikTok YouTube LinkedIn WhatsApp Telegram Messenger G News Contenido relacionado Juliaca SUNARP prohíbe venta de bienes de 46 universidades según Ley 32494: UANCV entre los impedidos Juliaca Etapa 4 del PIAA en Juliaca vuelve a foja cero al anularse el proceso de licitación: las otras etapas 2 y 3 presentan retrasos Juliaca Juliaca: Madre denuncia intento de secuestro de escolar Juliaca UANCV entre las 5 universidades que se cierran en Perú: 1000 despidos entre docentes, administrativos y exautoridades Juliaca Juliaca: Rechazo a sesión descentralizada expone indiferencia ante crímenes Juliaca Juliaca: Basura y conexiones ilegales tapizan canales pluviales",Política,Redacción Pachamama Radio,"sicarios, acribillan, joven, años, juliaca",https://pachamamaradio.org/sicarios-acribillan-a-joven-de-23-anos-en-juliaca-con-13-disparos-en-pleno-dia/,pachamamaradio.org,2025-11-17 07:46:37.018633,data:image/svg+xml,2,True,Pachamama Radio,78,156.0,Galería,2025-11-17 07:46:37.007396
19289,Semanario Los Andes 17/11/2025,2025-11-16 00:00:00.000000,2025.0,11.0,16.0,Sunday,"Guarda mi nombre, correo electrónico y sitio web en este navegador para la próxima vez que comente","Guarda mi nombre, correo electrónico y sitio web en este navegador para la próxima vez que comente. Diario referente del sur del Perú, espacio de reflexión sobre el desarrollo humano y su relación con el medio ambiente, la sociedad y la economía © 2024 Diario los Andes. Todos los derechos reservados.",Medio Ambiente,Diario los Andes,"semanario, andes",https://losandes.com.pe/semanario-los-andes-17-11-2025/,losandes.com.pe,2025-11-17 07:43:54.208418,,0,False,Los Andes,30,98.0,Noticia,2025-11-17 07:43:53.560377
19288,Red Salud Lampa desarrolla simulacro de emergencias obstétricas,2018-11-13 00:00:00.000000,2018.0,11.0,13.0,Tuesday,"La Red de Salud Lampa implemento en varios Establecimientos de Salud los simulacros de emergencias obstétricas, simulación del manejo de pacientes sufriendo alguna emergencia obstétrica más frecuente, con el objetivo de mejorar la calidad de atención a las pacientes en estado de gestación. La simulación contó con la participación de todo el personal de salud, […]","La Red de Salud Lampa implemento en varios Establecimientos de Salud los simulacros de emergencias obstétricas, simulación del manejo de pacientes sufriendo alguna emergencia obstétrica más frecuente, con el objetivo de mejorar la calidad de atención a las pacientes en estado de gestación. La simulación contó con la participación de todo el personal de salud, a fin de involucrar e incentivar la colaboración para un mejor trabajo en equipo, mejorando la comunicación y manejo adecuado en caso de estas emergencias.",Deportes,Diario los Andes,"salud, lampa, desarrolla, simulacro, emergencias",https://losandes.com.pe/red-salud-lampa-desarrolla-simulacro-de-emergencias-obstetricas/?signup,losandes.com.pe,2025-11-17 07:43:54.205160,,0,False,Los Andes,63,365.0,Noticia,2025-11-17 07:43:53.560377
19178,Qué es la Fórmula 1: todo sobre el deporte motor más emocionante del mundo,2025-11-06 00:00:00.000000,2025.0,11.0,6.0,Thursday,"El que es la Fórmula 1 es una pregunta que muchos se hacen al acercarse por primera vez a este fascinante universo de velocidad, tecnología y estrategia. Se trata del campeonato de automovilismo más prestigioso del planeta, donde monoplazas de última generación compiten en circuitos de todo el mundo. Si quieres acercarte a este deporte […]","El que es la Fórmula 1 es una pregunta que muchos se hacen al acercarse por primera vez a este fascinante universo de velocidad, tecnología y estrategia. Se trata del campeonato de automovilismo más prestigioso del planeta, donde monoplazas de última generación compiten en circuitos de todo el mundo. Si quieres acercarte a este deporte y conocer más sobre sus pilotos, equipos y coleccionables, la Fórmula 1 ofrece diversas experiencias y productos que permiten vivir la emoción de cada Gran Premio desde cualquier lugar. La Fórmula 1 es la máxima categoría del automovilismo mundial, organizada por la FIA, donde 10 equipos o escuderías compiten con sus propios monoplazas de alta tecnología. Cada equipo tiene dos pilotos que participan en una serie de Grandes Premios alrededor del mundo, buscando acumular puntos tanto para el campeonato de pilotos como para el de constructores. En cada carrera, los primeros 10 clasificados reciben puntos. La temporada 2025 incluye 24 Grandes Premios, con circuitos permanentes y urbanos de al menos 305 km, lo que convierte cada carrera en un desafío único y emocionante. La parrilla de la Fórmula 1 está conformada por 10 escuderías, cada una con su propia historia y filosofía. Entre las más emblemáticas están Ferrari, con 16 títulos de constructores; Red Bull Racing, dominador reciente; y Mercedes, que consiguió ocho títulos consecutivos entre 2014 y 2021. Otros equipos destacados son McLaren, Aston Martin, Alpine, Williams, Haas, Sauber (que será Audi en 2026) y Racing Bulls. Algunos equipos utilizan motores de otros fabricantes: Williams emplea motores Mercedes y Haas utiliza propulsores Ferrari. Entre los pilotos más reconocidos se encuentran Max Verstappen, tetracampeón, Lewis Hamilton, con siete títulos, y figuras como Charles Leclerc, Lando Norris y Fernando Alonso. La temporada 2025 suma jóvenes talentos como Kimi Antonelli y Gabriel Bortoleto, que prometen mantener la emoción en cada carrera. Un fin de semana de Fórmula 1 se organiza en tres días: Seis Grandes Premios incluyen formato sprint, carreras de 100 km que otorgan puntos extra. Para los fanáticos, existen coleccionables como Hot Wheels F1, que permiten llevar la pasión de la pista a casa. La Fórmula 1 combina velocidad con estrategia. Las paradas en boxes son decisivas: los equipos deciden cuándo cambiar neumáticos, qué compuesto usar y cómo ajustar el coche según el clima y la pista. Los neumáticos van del más blando (mayor agarre, menor durabilidad) al más duro (menos tracción, mayor duración). Para 2025 se añadió el compuesto C6, ampliando las opciones tácticas. El DRS (Sistema de Reducción de Resistencia) permite adelantar abriendo una aleta en el alerón trasero cuando un piloto está a menos de un segundo del rival, aumentando la emoción en rectas y adelantamientos. La comunicación constante por radio entre piloto e ingenieros garantiza que la estrategia se ejecute con precisión. La Fórmula 1 es un fenómeno global, con millones de espectadores en más de 200 países. Su atractivo combina tecnología de vanguardia, rivalidades intensas y el glamour de cada Gran Premio. Más allá de las pistas, muchas innovaciones se aplican a autos comerciales, desde frenos de disco hasta turbocompresores, haciendo de la F1 un laboratorio automotriz. El merchandising también refleja su popularidad. Los fanáticos encuentran desde ropa oficial y réplicas de cascos hasta modelos a escala. Por ejemplo, los Hot Wheels F1 con precio accesible, permiten a los aficionados en Perú coleccionar y vivir la emoción de la categoría desde casa. La Fórmula 1 combina velocidad, estrategia y tecnología en uno de los deportes más emocionantes del mundo. Cada fin de semana, desde entrenamientos hasta la carrera principal, ofrece desafíos únicos que ponen a prueba pilotos y equipos por igual. En Perú, los aficionados pueden seguir las carreras, coleccionar productos oficiales y acercarse al universo F1 a través de artículos como los Hot Wheels F1. Para quienes buscan entender mejor el deporte, conocer que es la Formula 1 permite vivir la pasión por este motor en casa y conectarse con la emoción global de la categoría.",Deportes,Diario los Andes,"fórmula, todo, deporte, motor, emocionante",https://losandes.com.pe/que-es-la-formula-1-todo-sobre-el-deporte-motor-mas-emocionante-del-mundo/?signup,losandes.com.pe,2025-11-17 07:43:54.091746,"https://losandes.com.pe/wp-content/uploads/2025/11/1.jpg?wsr, https://losandes.com.pe/wp-content/uploads/2025/11/2.jpg?wsr",1,True,Los Andes,74,341.0,Noticia,2025-11-17 07:43:53.560377
19269,Credicoop hará respetar a la zona sur,2018-11-11 00:00:00.000000,2018.0,11.0,11.0,Sunday,"Como parte de los partidos de ida de los Cuartos de Final en la Copa Perú 2018, mañana el Credicoop San Cristóbal de Moquegua chocará ante el representativo de Molinos El Pirata (Lambayeque), equipo que se viene con todo para intentar avanzar a las semifinales del ‘Futbol Macho’. Este partido se jugará a partir del […]","Como parte de los partidos de ida de los Cuartos de Final en la Copa Perú 2018, mañana el Credicoop San Cristóbal de Moquegua chocará ante el representativo de Molinos El Pirata (Lambayeque), equipo que se viene con todo para intentar avanzar a las semifinales del ‘Futbol Macho’. Este partido se jugará a partir del mediodía en el estadio 25 de Noviembre de la ciudad de Moquegua, en donde los ‘Financieros’ deberán hacer respetar la casa y aprovechar al máximo su condición de local. Cabe indicar que tras la eliminiación del Credicoop San Román y el Alfonso Ugarte, el equipo moqueguano representaría a la zona sur del país en la Copa Perú del presente año, y tras tener una buena actuación dentro de las primeras fases se espera que logre un triunfo importante y ser el único equipo de esta parte del país que pueda conquistar el fútbol peruano.",Deportes,Diario los Andes,"credicoop, hará, respetar, zona",https://losandes.com.pe/credicoop-hara-respetar-a-la-zona-sur/?signup,losandes.com.pe,2025-11-17 07:43:54.078799,,0,False,Los Andes,37,320.0,Noticia,2025-11-17 07:43:53.560377
15474,Semanario Los Andes 17/11/2025,2025-11-16 00:00:00.000000,2025.0,11.0,16.0,Sunday,"Guarda mi nombre, correo electrónico y sitio web en este navegador para la próxima vez que comente","Guarda mi nombre, correo electrónico y sitio web en este navegador para la próxima vez que comente. Diario referente del sur del Perú, espacio de reflexión sobre el desarrollo humano y su relación con el medio ambiente, la sociedad y la economía © 2024 Diario los Andes. Todos los derechos reservados.",Medio Ambiente,Diario los Andes,"semanario, andes",https://losandes.com.pe/semanario-los-andes-17-11-2025/?signup,losandes.com.pe,2025-11-17 07:43:54.072774,,0,False,Los Andes,30,98.0,Noticia,2025-11-17 07:43:53.560377
19287,AREQUIPA: Diario Los Andes 15/11/2025,2025-11-15 00:00:00.000000,2025.0,11.0,15.0,Saturday,"Guarda mi nombre, correo electrónico y sitio web en este navegador para la próxima vez que comente","Guarda mi nombre, correo electrónico y sitio web en este navegador para la próxima vez que comente. Diario referente del sur del Perú, espacio de reflexión sobre el desarrollo humano y su relación con el medio ambiente, la sociedad y la economía © 2024 Diario los Andes. Todos los derechos reservados.",Medio Ambiente,Diario los Andes,"arequipa, diario, andes",https://losandes.com.pe/arequipa-diario-los-andes-15-11-2025/?signup,losandes.com.pe,2025-11-17 07:43:54.045999,,0,False,Los Andes,37,98.0,Noticia,2025-11-17 07:43:53.560377
19280,"PBI industrial crecerá 4% este año, luego de cuatro años de caídas",2018-11-19 00:00:00.000000,2018.0,11.0,19.0,Monday,"El ministerio de la Producción (Produce) proyectó hoy que el Producto Bruto Interno (PBI) industrial registrará un crecimiento de 4% este año, tras cuatro años de caídas, impulsado por el buen desempeño que muestra el sector pesca. «La manufactura crecerá 4% este año por el buen desempeño que viene mostrando el sector pesca», previó el […]","El ministerio de la Producción (Produce) proyectó hoy que el Producto Bruto Interno (PBI) industrial registrará un crecimiento de 4% este año, tras cuatro años de caídas, impulsado por el buen desempeño que muestra el sector pesca. «La manufactura crecerá 4% este año por el buen desempeño que viene mostrando el sector pesca», previó el ministro de la Producción, Raúl Pérez-Reyes. Cabe destacar que el PBI manufacturero registró una caída de 3.6% en el 2014, así como descensos de 1.5% en el 2015, 1.4% en el 2016 y 0.2% en el 2017, según información del Banco Central de Reserva (BCR). Cabe precisar que el sector manufactura se expandió 1.19% en setiembre pasado y acumuló un desempeño favorable durante siete meses consecutivos, informó el Instituto Nacional de Estadística e Informática (INEI) la semana pasada. De acuerdo al INEI, este avance fue impulsado tanto por el subsector fabril primario (3.52%) como por el subsector fabril no primario (0.52%). Pérez-Reyes sostuvo que fueron impresionantes los resultados de los primeros días de la segunda temporada de pesca (en la zona norte – centro) . “El día de ayer se descargaron 116,000 toneladas de anchoveta”, resaltó. “Así esperamos cerrar con un crecimiento de 4% (en manufactura) este año, luego que en el primer semestre crecimos 5.7%, aunque en el segundo semestre avanzaremos a una tasa menor”, dijo. Cabe resaltar que a mediados de la semana pasada Produce oficializó en 2 millones 100,000 toneladas el límite máximo total de captura permisible del recurso anchoveta correspondiente a la segunda temporada de pesca 2018 en la zona norte-centro.",Política,Diario los Andes,"industrial, crecerá, este, luego, cuatro",https://losandes.com.pe/pbi-industrial-crecera-4-este-ano-luego-de-cuatro-anos-de-caidas/?signup,losandes.com.pe,2025-11-17 07:43:54.039030,,0,False,Los Andes,66,341.0,Noticia,2025-11-17 07:43:53.560377
